"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,436,4,53,189,117,131,86
0.666666,393,4,38,146,174,174,72
0.999999,342,4,49,133,205,187,54
1.33333,307,4,42,114,238,206,40
1.66666,278,4,42,97,259,223,36
2.0,253,4,42,85,277,235,30
2.33333,236,4,38,79,284,241,29
2.66666,212,4,46,73,295,247,24
3.0,180,4,59,66,303,254,23
3.33333,164,4,58,59,314,261,19
3.66666,147,4,55,46,334,274,12
4.0,133,4,53,33,341,287,18
4.33333,125,4,54,28,345,292,19
4.66666,111,4,59,25,338,295,29
5.0,101,4,60,30,330,290,32
5.33333,94,4,62,34,323,286,35
