"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,452,4,51,209,102,111,81
0.666666,404,4,41,173,154,147,65
0.999999,356,4,45,145,193,175,54
1.33333,321,4,36,109,236,211,47
1.66666,281,4,49,102,244,218,46
2.0,240,4,59,86,266,234,40
2.33333,212,4,58,70,290,250,32
2.66666,193,4,51,55,308,265,29
3.0,168,4,59,46,318,274,28
3.33333,153,4,61,50,323,270,19
3.66666,140,4,57,43,330,277,19
4.0,128,4,46,33,340,287,19
4.33333,123,4,50,36,339,284,17
4.66666,114,4,53,29,337,291,26
5.0,102,4,49,27,338,293,27
5.33333,90,4,51,29,337,291,26
