"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,447,4,46,196,113,124,83
0.666666,407,4,33,159,162,161,71
0.999999,366,4,31,139,190,181,63
1.33333,326,4,36,127,212,193,53
1.66666,278,4,47,113,232,207,47
2.0,252,4,39,99,260,221,33
2.33333,226,4,41,89,271,231,32
2.66666,209,4,41,81,283,239,28
3.0,183,4,43,68,299,252,25
3.33333,158,4,49,62,303,258,27
3.66666,139,4,51,52,319,268,21
4.0,126,4,52,50,324,270,18
4.33333,118,4,50,47,326,273,19
4.66666,112,4,50,44,329,276,19
5.0,103,4,54,40,331,280,21
5.33333,92,4,58,38,335,282,19
