"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,439,4,45,185,126,135,81
0.666666,394,4,43,157,164,163,71
0.999999,362,4,39,140,200,180,52
1.33333,324,4,50,124,221,196,47
1.66666,283,4,49,97,256,223,39
2.0,255,4,51,86,269,234,37
2.33333,227,4,47,67,288,253,37
2.66666,195,4,59,63,296,257,33
3.0,175,4,49,48,317,272,27
3.33333,161,4,52,42,322,278,28
3.66666,144,4,56,35,330,285,27
4.0,128,4,55,29,333,291,30
4.33333,120,4,55,23,334,297,35
4.66666,113,4,58,26,338,294,28
5.0,106,4,54,28,342,292,22
5.33333,101,4,51,27,345,293,20
