"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,443,4,56,196,111,124,85
0.666666,397,4,42,154,163,166,75
0.999999,351,4,47,143,194,177,55
1.33333,312,4,44,115,228,205,49
1.66666,284,4,40,93,254,227,45
2.0,258,4,45,89,265,231,38
2.33333,229,4,56,69,283,251,40
2.66666,204,4,57,54,305,266,33
3.0,183,4,55,40,323,280,29
3.33333,171,4,55,31,335,289,26
3.66666,155,4,61,36,335,284,21
4.0,139,4,65,39,338,281,15
4.33333,126,4,71,39,341,281,12
4.66666,111,4,83,38,333,282,21
5.0,99,4,80,31,338,289,23
5.33333,87,4,80,25,343,295,24
