"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,452,4,40,197,119,123,76
0.666666,396,4,41,162,168,158,62
0.999999,372,4,28,139,204,181,49
1.33333,327,4,39,118,234,202,40
1.66666,281,4,47,94,257,226,41
2.0,245,4,61,84,274,236,34
2.33333,219,4,59,65,287,255,40
2.66666,196,4,57,60,303,260,29
3.0,173,4,61,51,316,269,25
3.33333,159,4,64,40,320,280,32
3.66666,141,4,64,40,328,280,24
4.0,124,4,65,33,336,287,23
4.33333,109,4,70,32,342,288,18
4.66666,99,4,65,23,348,297,21
5.0,90,4,64,29,343,291,20
5.33333,82,4,68,25,344,295,23
