"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,451,4,36,192,121,128,79
0.666666,397,4,47,158,161,162,73
0.999999,359,4,41,132,201,188,59
1.33333,324,4,40,118,229,202,45
1.66666,285,4,45,97,260,223,35
2.0,245,4,50,80,277,240,35
2.33333,225,4,51,74,289,246,29
2.66666,204,4,40,51,317,269,24
3.0,176,4,56,55,313,265,24
3.33333,155,4,61,41,329,279,22
3.66666,135,4,72,41,329,279,22
4.0,124,4,73,38,335,282,19
4.33333,110,4,72,31,338,289,23
4.66666,102,4,69,29,343,291,20
5.0,99,4,60,22,350,298,20
5.33333,96,4,58,26,347,294,19
