"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,457,4,37,196,113,124,83
0.666666,410,4,38,168,153,152,71
0.999999,355,4,53,140,194,180,58
1.33333,313,4,57,117,230,203,45
1.66666,283,4,42,87,261,233,44
2.0,242,4,57,74,278,246,40
2.33333,213,4,62,63,295,257,34
2.66666,192,4,56,52,317,268,23
3.0,178,4,56,43,326,277,23
3.33333,160,4,58,42,328,278,22
3.66666,141,4,62,37,331,283,24
4.0,130,4,62,34,335,286,23
4.33333,113,4,68,30,337,290,25
4.66666,105,4,63,29,341,291,22
5.0,89,4,68,27,344,293,21
5.33333,81,4,58,21,345,299,26
