"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,452,4,38,194,117,126,81
0.666666,387,4,50,155,169,165,68
0.999999,341,4,48,126,212,194,54
1.33333,295,4,57,104,243,216,45
1.66666,265,4,48,82,276,238,34
2.0,242,4,44,70,297,250,25
2.33333,227,4,45,63,308,257,21
2.66666,199,4,53,50,321,270,21
3.0,181,4,56,42,323,278,27
3.33333,163,4,61,38,331,282,23
3.66666,149,4,66,38,334,282,20
4.0,132,4,68,35,339,285,18
4.33333,119,4,70,27,343,293,22
4.66666,105,4,72,25,342,295,25
5.0,101,4,67,23,343,297,26
5.33333,88,4,73,23,340,297,29
