"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,447,4,47,191,115,129,86
0.666666,387,4,53,168,159,152,65
0.999999,347,4,50,136,192,184,64
1.33333,316,4,44,119,220,201,53
1.66666,283,4,44,105,245,215,42
2.0,264,4,41,95,269,225,28
2.33333,232,4,43,77,287,243,28
2.66666,209,4,36,59,316,261,17
3.0,185,4,47,51,320,269,21
3.33333,160,4,53,39,332,281,21
3.66666,141,4,61,37,336,283,19
4.0,123,4,64,28,337,292,27
4.33333,111,4,64,22,345,298,25
4.66666,102,4,70,27,338,293,27
5.0,94,4,72,30,329,290,33
5.33333,88,4,61,34,337,286,21
