"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,453,4,39,196,115,124,81
0.666666,410,4,35,175,153,145,64
0.999999,368,4,31,143,196,177,53
1.33333,329,4,39,132,215,188,45
1.66666,291,4,36,100,247,220,45
2.0,259,4,41,86,268,234,38
2.33333,234,4,48,80,283,240,29
2.66666,203,4,57,65,297,255,30
3.0,181,4,54,56,308,264,28
3.33333,161,4,54,50,315,270,27
3.66666,145,4,52,41,328,279,23
4.0,128,4,50,31,339,289,22
4.33333,114,4,55,32,340,288,20
4.66666,108,4,56,32,333,288,27
5.0,94,4,54,31,337,289,24
5.33333,90,4,55,35,337,285,20
