"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,445,4,42,192,118,128,82
0.666666,402,4,37,162,160,158,70
0.999999,355,4,37,128,205,192,59
1.33333,321,4,44,118,228,202,46
1.66666,292,4,34,101,254,219,37
2.0,259,4,43,87,275,233,30
2.33333,227,4,46,71,297,249,24
2.66666,208,4,48,60,304,260,28
3.0,198,4,45,59,310,261,23
3.33333,180,4,40,41,323,279,28
3.66666,159,4,53,40,325,280,27
4.0,146,4,53,39,330,281,23
4.33333,135,4,56,33,332,287,27
4.66666,121,4,62,29,338,291,25
5.0,108,4,61,18,345,302,29
5.33333,95,4,68,23,340,297,29
