"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,434,4,52,201,118,119,73
0.666666,378,4,42,151,175,169,66
0.999999,332,4,40,128,213,192,51
1.33333,300,4,38,107,237,213,48
1.66666,262,4,51,94,251,226,47
2.0,233,4,54,83,272,237,37
2.33333,218,4,45,63,295,257,34
2.66666,196,4,47,52,307,268,33
3.0,167,4,57,49,316,271,27
3.33333,148,4,58,45,321,275,26
3.66666,130,4,61,37,330,283,25
4.0,117,4,64,32,331,288,29
4.33333,106,4,72,32,330,288,30
4.66666,95,4,67,29,341,291,22
5.0,83,4,71,24,343,296,25
5.33333,73,4,72,21,347,299,24
