"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,449,4,49,196,118,124,78
0.666666,396,4,40,155,169,165,68
0.999999,333,4,39,123,217,197,52
1.33333,305,4,34,104,240,216,48
1.66666,272,4,40,89,259,231,44
2.0,248,4,42,80,276,240,36
2.33333,220,4,49,74,290,246,28
2.66666,195,4,63,67,297,253,28
3.0,174,4,55,53,311,267,28
3.33333,159,4,56,47,312,273,33
3.66666,149,4,49,41,319,279,32
4.0,135,4,51,44,323,276,25
4.33333,123,4,48,36,330,284,26
4.66666,116,4,45,36,330,284,26
5.0,99,4,54,33,328,287,31
5.33333,91,4,54,36,326,284,30
