"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,439,4,58,210,106,110,76
0.666666,385,4,39,159,167,161,66
0.999999,344,4,42,138,201,182,53
1.33333,307,4,42,115,234,205,43
1.66666,270,4,57,101,251,219,40
2.0,236,4,64,86,267,234,39
2.33333,212,4,58,71,293,249,28
2.66666,196,4,48,54,309,266,29
3.0,184,4,44,48,316,272,28
3.33333,167,4,46,41,326,279,25
3.66666,152,4,46,33,332,287,27
4.0,133,4,53,33,333,287,26
4.33333,117,4,53,31,337,289,24
4.66666,110,4,54,34,336,286,22
5.0,100,4,57,36,329,284,27
5.33333,94,4,54,31,336,289,25
