"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,445,4,49,198,119,122,75
0.666666,395,4,41,158,171,162,63
0.999999,354,4,42,139,202,181,51
1.33333,319,4,45,115,227,205,50
1.66666,289,4,49,100,248,220,44
2.0,258,4,46,84,276,236,32
2.33333,230,4,50,77,284,243,31
2.66666,199,4,54,57,305,263,30
3.0,183,4,55,52,311,268,29
3.33333,170,4,55,47,312,273,33
3.66666,154,4,51,40,322,280,30
4.0,144,4,46,36,331,284,25
4.33333,128,4,60,41,327,279,24
4.66666,112,4,67,40,331,280,21
5.0,100,4,71,31,334,289,27
5.33333,97,4,60,29,341,291,22
