"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,450,4,41,195,119,125,78
0.666666,397,4,37,155,168,165,69
0.999999,352,4,47,141,198,179,53
1.33333,306,4,49,114,244,206,34
1.66666,265,4,60,96,270,224,26
2.0,243,4,60,79,295,241,18
2.33333,210,4,64,58,316,262,18
2.66666,191,4,69,47,321,273,24
3.0,178,4,67,35,327,285,30
3.33333,162,4,71,29,326,291,37
3.66666,149,4,75,33,333,287,26
4.0,135,4,72,28,337,292,27
4.33333,128,4,66,27,339,293,26
4.66666,107,4,77,26,346,294,20
5.0,100,4,78,25,352,295,15
5.33333,89,4,78,20,353,300,19
