"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,434,4,56,185,121,135,86
0.666666,384,4,45,151,171,169,70
0.999999,346,4,41,129,204,191,59
1.33333,302,4,46,112,234,208,46
1.66666,268,4,53,101,258,219,33
2.0,240,4,49,77,286,243,29
2.33333,211,4,58,66,304,254,22
2.66666,190,4,55,55,325,265,12
3.0,170,4,55,40,332,280,20
3.33333,156,4,52,30,342,290,20
3.66666,148,4,57,32,339,288,21
4.0,134,4,57,27,341,293,24
4.33333,118,4,61,30,344,290,18
4.66666,95,4,74,32,343,288,17
5.0,84,4,71,21,354,299,17
5.33333,73,4,73,16,356,304,20
